keyword,lowest_page,lowest_position,lowest_display,highest_page,highest_position,highest_display,runs_found
"Best D-SAT classes in Chandkheda, Ahmedabad",1,15,1st page 15th result,1,15,1st page 15th result,1
Best D-SAT classes in Kalol,3,1,3rd page 1st result,4,3,4th page 3rd result,2
"Best D-SAT classes in Katargam, Surat",1,20,1st page 20th result,2,8,2nd page 8th result,2
"Best D-SAT classes in Manjalpur, Vadodara",2,4,2nd page 4th result,2,6,2nd page 6th result,2
Best D-SAT classes in Mehsana,2,11,2nd page 11th result,2,14,2nd page 14th result,2
"Best D-SAT classes in New Vip Road, Vadodara",1,14,1st page 14th result,1,15,1st page 15th result,2
"Best D-SAT classes in Parvat Patia, Surat",2,16,2nd page 16th result,5,1,5th page 1st result,2
Best D-SAT classes in Vapi,2,12,2nd page 12th result,2,12,2nd page 12th result,1
"Best D-SAT coaching in Alkapuri, Vadodara",3,9,3rd page 9th result,8,3,8th page 3rd result,2
Best D-SAT coaching in Himatnagar,1,22,1st page 22nd result,1,22,1st page 22nd result,1
Best D-SAT coaching in Kalol,2,12,2nd page 12th result,2,13,2nd page 13th result,2
"Best D-SAT coaching in Maninagar, Ahmedabad",3,3,3rd page 3rd result,3,3,3rd page 3rd result,1
"Best D-SAT coaching in Memnagar, Ahmedabad",3,7,3rd page 7th result,3,11,3rd page 11th result,2
Best D-SAT coaching in Nadiad,2,4,2nd page 4th result,2,10,2nd page 10th result,2
"Best D-SAT coaching in New Vip Road, Vadodara",1,15,1st page 15th result,3,12,3rd page 12th result,2
"Best D-SAT coaching in Vesu, Surat",4,13,4th page 13th result,5,10,5th page 10th result,2
Best D-SAT coaching in Visnagar,1,4,1st page 4th result,2,5,2nd page 5th result,2
"Best D-SAT coching in Manjalpur, Vadodara",4,13,4th page 13th result,4,13,4th page 13th result,1
"Best D-SAT coching in Nikol, Ahmedabad",4,3,4th page 3rd result,4,3,4th page 3rd result,1
"Best D-SAT tuition in Alkapuri, Vadodara",2,3,2nd page 3rd result,5,5,5th page 5th result,2
"Best D-SAT tuition in Bapunagar, Ahmedabad",2,1,2nd page 1st result,2,1,2nd page 1st result,1
"Best D-SAT tuition in Ghatlodiya, Ahmedabad",1,8,1st page 8th result,1,9,1st page 9th result,2
Best D-SAT tuition in Himatnagar,2,4,2nd page 4th result,2,15,2nd page 15th result,2
"Best D-SAT tuition in Maninagar, Ahmedabad",4,9,4th page 9th result,4,14,4th page 14th result,2
"Best D-SAT tuition in Manjalpur, Vadodara",2,6,2nd page 6th result,2,6,2nd page 6th result,1
Best D-SAT tuition in Mehsana,2,12,2nd page 12th result,3,10,3rd page 10th result,2
"Best D-SAT tuition in Naroda, Ahmedabad",2,1,2nd page 1st result,2,15,2nd page 15th result,2
Best D-SAT tuition in Navsari,3,7,3rd page 7th result,3,11,3rd page 11th result,2
"Best D-SAT tuition in Nikol, Ahmedabad",2,11,2nd page 11th result,2,12,2nd page 12th result,2
"Best D-SAT tuition in Vesu, Surat",2,7,2nd page 7th result,3,15,3rd page 15th result,2
Best D-SAT tusion in Kalol,2,6,2nd page 6th result,3,6,3rd page 6th result,2
"Best DSAT clases in Naroda, Ahmedabad",9,11,9th page 11th result,9,11,9th page 11th result,1
"Best DSAT classes in Alkapuri, Vadodara",2,17,2nd page 17th result,3,9,3rd page 9th result,2
"Best DSAT classes in Bapunagar, Ahmedabad",1,9,1st page 9th result,1,9,1st page 9th result,2
"Best DSAT classes in Ghatlodiya, Ahmedabad",1,14,1st page 14th result,2,1,2nd page 1st result,2
Best DSAT classes in Himatnagar,2,6,2nd page 6th result,2,8,2nd page 8th result,2
"Best DSAT classes in Katargam, Surat",1,2,1st page 2nd result,5,8,5th page 8th result,2
"Best DSAT classes in Manjalpur, Vadodara",5,5,5th page 5th result,5,12,5th page 12th result,2
Best DSAT classes in Mehsana,3,3,3rd page 3rd result,6,5,6th page 5th result,2
Best DSAT classes in Vapi,3,14,3rd page 14th result,3,14,3rd page 14th result,1
"Best DSAT classes in Vesu, Surat",3,4,3rd page 4th result,6,10,6th page 10th result,2
Best DSAT classes in Visnagar,1,19,1st page 19th result,1,19,1st page 19th result,1
"Best DSAT coaching in Ghod Dod Road, Surat",2,12,2nd page 12th result,2,12,2nd page 12th result,1
"Best DSAT coaching in Manjalpur, Vadodara",2,10,2nd page 10th result,4,8,4th page 8th result,2
"Best DSAT coaching in Memnagar, Ahmedabad",3,5,3rd page 5th result,5,16,5th page 16th result,2
Best DSAT coaching in Navsari,2,12,2nd page 12th result,2,12,2nd page 12th result,1
"Best DSAT coaching in New Vip Road, Vadodara",2,3,2nd page 3rd result,2,14,2nd page 14th result,2
"Best DSAT coching in Chandkheda, Ahmedabad",2,8,2nd page 8th result,2,8,2nd page 8th result,1
"Best DSAT tuition in Bapunagar, Ahmedabad",1,7,1st page 7th result,1,10,1st page 10th result,2
"Best DSAT tuition in Ghatlodiya, Ahmedabad",1,8,1st page 8th result,1,9,1st page 9th result,2
"Best DSAT tuition in Ghod Dod Road, Surat",3,5,3rd page 5th result,5,7,5th page 7th result,2
Best DSAT tuition in Himatnagar,2,14,2nd page 14th result,2,14,2nd page 14th result,1
